age,study_hours_per_week,previous_courses_completed,platform_visits_per_month,assignment_completion_rate,purchased_course
26,13,0,18,20,0
24,19,4,31,73,1
26,17,5,30,90,1
25,4,3,18,34,0
18,12,5,17,84,0
29,9,2,14,95,1
25,19,4,31,90,1
25,12,4,24,34,0
28,9,4,34,40,1
20,7,2,3,38,0
18,14,2,26,79,1
25,20,5,23,52,1
20,19,1,15,68,1
20,15,5,4,54,0
18,16,3,29,63,1
28,21,0,22,30,0
22,5,4,25,91,1
27,3,1,13,97,0
24,12,0,18,93,1
27,20,1,33,85,1
26,21,7,16,65,1
29,4,7,2,28,0
24,21,6,34,22,1
26,23,7,30,45,1
25,16,5,13,91,1
29,7,7,13,67,0
19,13,2,18,85,1
18,21,4,32,89,1
24,10,5,32,47,0
24,7,0,29,45,0
25,14,6,29,44,1
22,5,6,16,31,0
20,3,6,10,24,0
29,23,0,30,67,1
25,11,0,25,56,0
23,11,0,20,98,0
28,18,0,5,63,0
20,15,6,1,34,1
18,12,6,30,62,1
20,9,1,3,67,0
22,10,5,14,89,1
20,12,4,30,65,1
18,17,7,4,62,1
22,6,7,18,40,0
27,7,2,25,42,0
24,14,6,1,99,0
24,13,2,15,66,0
28,8,5,9,34,0
26,10,5,15,44,0
27,9,2,24,55,0
27,18,6,4,94,1
29,2,2,12,70,0
20,5,7,6,34,0
24,5,1,24,87,0
18,6,7,11,40,1
21,19,3,13,32,0
21,8,6,34,38,1
22,16,6,25,53,1
24,13,4,7,97,1
24,1,0,4,87,0
28,22,3,8,71,1
21,20,5,20,46,1
24,17,6,29,48,1
28,7,2,10,47,0
20,13,3,34,54,0
23,4,4,26,27,0
29,4,5,3,35,0
19,6,0,6,55,0
27,19,0,5,49,0
26,12,4,5,37,0
22,22,4,23,21,1
23,7,2,9,68,0
29,10,6,20,96,1
29,19,0,18,23,0
29,7,5,17,94,0
29,3,3,24,26,0
21,13,5,3,93,1
28,13,1,32,58,0
27,18,1,13,32,0
24,20,4,25,50,1
29,8,2,9,90,0
26,9,1,4,82,0
24,7,0,14,75,0
18,1,5,34,61,0
18,3,5,11,80,0
26,13,4,3,61,0
28,17,6,28,75,1
26,24,6,29,55,1
21,1,3,9,87,0
26,6,4,3,26,0
20,21,7,25,73,1
24,6,3,34,20,0
23,12,7,12,63,1
25,13,6,9,64,1
28,13,4,15,66,1
26,15,7,25,32,1
22,21,4,5,41,0
18,16,4,11,40,1
20,22,6,34,28,1
27,21,3,24,45,1
29,11,3,15,28,0
25,5,4,8,34,0
28,4,1,5,29,0
23,3,2,26,61,0
25,19,6,18,91,1
26,20,2,6,43,0
21,18,2,13,99,1
18,15,3,28,68,1
18,9,3,5,45,0
27,17,1,13,56,1
21,14,2,17,87,1
29,15,2,32,69,1
24,1,4,29,43,0
19,21,3,3,38,1
20,22,2,34,79,1
18,22,5,27,58,1
22,3,1,13,93,0
18,16,7,33,37,1
25,23,5,6,38,1
18,11,5,24,55,1
28,12,7,19,93,1
18,10,6,16,74,0
19,16,6,28,88,1
19,8,1,33,66,0
29,6,5,13,68,1
23,12,2,25,52,0
24,24,3,27,40,1
22,21,1,7,41,0
18,8,4,5,67,0
18,4,7,31,56,1
20,8,5,23,34,0
19,18,1,10,54,0
22,5,0,32,90,1
29,9,0,30,51,0
27,4,6,31,30,0
23,22,7,18,29,1
24,17,3,2,92,0
21,9,2,14,97,1
24,1,3,13,96,0
28,21,3,29,76,1
25,20,3,12,44,1
28,13,7,2,21,0
18,16,3,32,83,1
23,13,4,13,54,1
25,14,7,27,26,1
22,3,4,17,37,0
21,6,7,31,86,1
19,18,6,34,61,1
23,19,1,24,58,1
23,5,0,6,60,0
28,15,3,19,94,0
18,2,6,30,43,0
26,10,1,7,79,0
29,24,0,10,65,1
28,18,5,32,38,1
23,13,2,34,87,1
20,5,4,28,61,1
21,23,5,15,51,1
29,24,7,30,58,1
28,1,0,29,55,0
21,22,5,22,55,1
20,1,2,4,22,0
27,18,6,20,92,1
20,15,0,32,27,0
20,17,5,4,89,1
21,11,4,27,60,1
24,21,4,17,87,1
21,22,1,12,32,0
26,17,5,22,68,1
18,13,3,17,79,1
25,1,5,10,21,0
24,2,6,1,79,0
19,9,0,22,24,0
25,3,0,26,63,0
18,1,6,18,46,0
28,21,5,14,51,1
29,16,6,29,40,1
26,23,2,12,27,1
26,6,7,12,91,1
19,17,6,7,69,1
24,5,4,29,86,1
27,5,6,11,63,1
20,6,0,33,77,0
24,3,4,6,22,0
29,21,0,15,89,1
27,23,1,32,21,1
26,5,3,11,63,0
21,21,0,23,21,0
29,5,4,26,54,0
18,10,1,34,49,1
19,10,0,34,27,0
18,19,2,29,41,1
29,17,6,4,63,1
22,21,3,17,77,1
22,14,0,13,55,0
28,9,1,15,88,0
24,14,2,29,96,1
26,1,5,29,50,1
26,19,1,11,66,0
20,13,6,32,74,1
20,13,1,2,99,0
20,4,2,14,81,0
21,1,1,20,49,0
25,17,2,22,74,1
23,8,0,11,35,0
25,2,7,27,31,0
18,8,2,3,36,0
25,7,2,17,35,0
21,2,3,28,31,0
28,22,2,29,27,1
18,22,2,21,22,0
25,3,5,16,35,0
21,18,7,20,49,1
23,12,0,6,42,0
25,1,6,19,24,0
21,22,3,5,84,1
20,12,5,3,49,0
26,5,4,1,40,0
20,17,7,15,89,1
26,16,0,34,41,0
19,15,0,25,91,1
19,23,4,24,51,1
19,15,6,12,52,1
23,5,2,18,35,0
20,21,5,15,95,1
26,14,1,16,57,1
21,2,3,27,33,0
18,11,1,8,55,0
21,19,4,25,42,1
18,7,0,17,85,0
22,6,6,29,21,1
21,2,0,8,92,0
25,6,3,15,84,0
25,18,0,27,94,1
24,2,0,7,86,0
20,18,3,3,71,1
18,15,5,29,81,1
18,19,5,24,42,1
29,2,3,3,45,0
28,20,6,20,87,1
20,6,4,15,74,0
23,1,7,25,25,1
24,24,0,30,54,1
23,15,6,14,41,1
23,23,0,7,62,0
23,10,7,17,34,0
20,19,4,20,79,1
23,17,5,9,31,1
25,5,6,22,68,0
28,4,2,2,61,0
28,10,2,24,57,0
19,24,7,8,64,1
22,17,2,11,54,1
18,10,5,13,49,0
29,17,7,17,49,1
18,20,5,8,97,1
22,24,4,21,25,1
29,5,0,18,86,0
20,2,4,30,99,0
21,6,4,18,26,0
20,21,5,31,71,1
18,2,7,32,33,0
18,13,7,11,92,1
29,11,2,25,34,0
29,11,1,33,40,1
22,16,0,8,54,0
23,11,5,11,85,1
20,19,2,22,21,1
29,15,6,24,54,1
26,23,1,17,97,1
22,23,1,12,39,1
25,16,5,32,29,1
18,11,3,15,44,0
22,22,0,16,85,1
20,16,1,22,44,0
29,8,5,28,73,1
18,4,5,20,52,0
21,8,2,33,55,1
22,4,6,10,33,0
24,24,3,32,84,1
18,3,0,33,99,0
20,3,7,2,73,1
19,18,4,33,71,1
26,19,6,33,22,1
27,19,6,13,60,1
23,21,2,30,25,1
27,5,7,33,44,1
20,18,1,13,32,0
25,10,1,26,27,1
25,22,2,22,40,0
19,21,5,2,87,1
23,6,1,26,44,0
24,1,3,15,98,0
19,5,0,34,87,1
28,9,6,11,64,0
27,12,6,3,79,1
19,14,3,6,31,0
27,2,7,9,51,0
18,17,1,6,32,0
25,14,6,9,50,1
18,13,4,31,97,1
26,9,7,32,39,1
28,15,0,12,37,1
23,22,0,8,79,1
24,15,6,8,82,1
27,24,2,28,25,1
24,11,7,20,51,1
27,16,6,7,62,0
20,17,2,11,21,0
19,4,6,20,79,0
26,1,4,16,42,0
25,8,7,4,50,0
29,17,5,6,24,0
27,3,0,22,53,0
24,20,6,26,29,1
26,15,4,3,21,0
21,15,2,14,30,0
21,24,2,11,69,1
18,22,0,18,50,1
25,14,3,12,75,1
29,23,6,23,98,1
20,14,7,12,92,1
24,24,1,13,28,0
29,2,2,25,40,0
19,13,7,19,92,1
19,14,7,8,47,1
24,24,5,29,81,1
23,19,7,32,26,1
20,7,7,18,99,1
26,3,5,6,35,0
27,15,2,18,23,0
23,23,7,19,23,1
27,14,3,22,59,0
27,11,3,32,36,0
23,15,4,3,71,1
18,13,5,28,71,1
21,18,4,10,55,1
27,6,5,29,57,1
23,3,6,15,69,1
23,19,6,33,82,1
28,15,7,7,82,1
29,23,1,12,81,1
22,5,6,30,26,0
18,10,1,21,46,0
25,7,6,31,33,0
22,17,0,24,90,0
29,7,6,20,24,0
29,22,4,4,74,1
29,12,2,28,21,1
22,17,7,20,81,1
24,13,4,24,40,1
21,20,2,32,98,1
23,4,3,34,40,1
21,10,4,2,29,0
20,3,3,15,77,0
24,9,1,34,58,0
25,13,1,6,24,0
21,18,0,12,84,1
19,15,6,3,32,1
29,4,4,18,72,0
27,15,3,21,64,1
20,22,2,15,51,0
18,2,1,33,55,0
25,15,6,26,79,1
20,8,1,8,30,0
29,8,2,30,82,0
27,17,6,23,40,0
24,12,6,14,71,1
27,19,3,14,74,1
22,10,3,2,45,0
27,9,4,5,87,0
22,5,4,14,53,0
24,6,5,25,71,1
26,20,7,20,71,1
29,2,5,2,48,0
22,24,0,6,57,0
18,13,1,17,61,0
27,6,4,25,40,1
27,5,3,28,61,0
18,1,2,2,32,0
19,21,3,5,83,0
23,22,1,1,36,0
26,21,5,12,28,0
25,6,3,23,60,1
22,6,7,31,20,1
18,23,0,11,21,0
24,16,1,10,79,0
22,4,5,3,67,0
23,11,7,14,48,1
24,24,2,16,29,0
20,23,5,10,77,1
29,9,6,29,79,1
27,23,7,10,40,1
20,3,7,12,47,0
22,19,0,30,94,1
23,8,1,1,53,0
26,5,2,5,27,0
29,4,0,20,78,0
22,24,5,8,91,1
18,6,0,12,68,0
